GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME,geo_code,geometry
E01008181,0,1477,All usual residents,E01008181,"POLYGON ((-1.7076489869708515 54.968482576466215, -1.7076806 54.9684335, -1.7077453 54.9683419, -1.7078194 54.9682523, -1.7079012 54.9681653, -1.7079452 54.9681232, -1.7080364 54.9680407, -1.7081339 54.9679601, -1.708236 54.9678821, -1.7083443 54.9678069, -1.7084588 54.9677344, -1.708578 54.9676646, -1.7087019 54.9675984, -1.7088305 54.967534, -1.7089637 54.9674741, -1.7091015 54.9674169, -1.7092613 54.9673571, -1.7094679 54.967292, -1.7096823 54.9672341, -1.7099014 54.9671825, -1.7101251 54.9671363, -1.7103503 54.9670955, -1.7105786 54.9670565, -1.7106396 54.9670477, -1.7108991 54.9670105, -1.7111618 54.9669815, -1.7114259 54.9669579, -1.7116916 54.9669405, -1.7119587 54.9669286, -1.7122259 54.9669211, -1.712254 54.9669212, -1.7125211 54.96692, -1.7127882 54.9669242, -1.7129529421174776 54.966930185013254, -1.7076489869708515 54.968482576466215))"
E01008258,0,2320,All usual residents,E01008258,"POLYGON ((-1.6216452535918748 54.96087415771109, -1.6225889 54.9605844, -1.6243313 54.9601297, -1.6257274 54.9598006, -1.6269007 54.9595768, -1.6284194 54.9593254, -1.6292937146159294 54.95922100346821, -1.6216452535918748 54.96087415771109))"
E01008288,0,1321,All usual residents,E01008288,"POLYGON ((-1.673896082883586 54.97985807250719, -1.674082729859406 54.97606222579351, -1.668956556471524 54.97445304678516, -1.671297999855865 54.9714097278037, -1.673846593106365 54.97180385617809, -1.673966670113619 54.97462977983092, -1.683584126081761 54.975362429737416, -1.687111133158741 54.97845960047514, -1.679425777810464 54.97667258918846, -1.679786249258114 54.981384618468965, -1.678626480275115 54.98108724828873, -1.673896082883586 54.97985807250719))"
E01008289,0,1590,All usual residents,E01008289,"POLYGON ((-1.664845370306582 54.97749474296783, -1.664338615829928 54.97187800895938, -1.671297999855865 54.9714097278037, -1.668956556471524 54.97445304678516, -1.674082729859406 54.97606222579351, -1.673896082883586 54.97985807250719, -1.670129609065507 54.978873124614175, -1.664845370306582 54.97749474296783))"
E01008290,0,1277,All usual residents,E01008290,"POLYGON ((-1.660536055535125 54.97094608806133, -1.659664163155588 54.96715788512021, -1.666062470347266 54.96462309101487, -1.673948449024147 54.965373705444435, -1.673846593106365 54.97180385617809, -1.671297999855865 54.9714097278037, -1.664338615829928 54.97187800895938, -1.660615573571047 54.97096495298647, -1.660536055535125 54.97094608806133))"
E01008291,0,2133,All usual residents,E01008291,"POLYGON ((-1.653321011125672 54.969594908682424, -1.653311694739887 54.96959384241193, -1.648295432604723 54.9688892286006, -1.647216734804437 54.96880401034764, -1.647861099879801 54.96581681750574, -1.65744974924663 54.9637786208064, -1.666062470347266 54.96462309101487, -1.659664163155588 54.96715788512021, -1.660536055535125 54.97094608806133, -1.655278280397495 54.969773937944126, -1.653321011125672 54.969594908682424))"
E01008292,0,1342,All usual residents,E01008292,"POLYGON ((-1.68275397413691 54.98214551447837, -1.679786249258114 54.981384618468965, -1.679425777810464 54.97667258918846, -1.687111133158741 54.97845960047514, -1.685625093493362 54.97958279326671, -1.68275397413691 54.98214551447837))"
E01008293,0,1447,All usual residents,E01008293,"POLYGON ((-1.667176231366578 55.00194985831579, -1.671852948770637 55.00484773941977, -1.675722151277337 55.004288562329194, -1.673535808438033 55.00264063067264, -1.680300610156837 55.003680077609474, -1.680244280795206 55.00397362276536, -1.680247260449822 55.01022710195235, -1.680198352454019 55.01025420151486, -1.665717703012054 55.00894920738786, -1.667176231366578 55.00194985831579))"
E01008294,0,1517,All usual residents,E01008294,"POLYGON ((-1.680198352454019 55.01025420151486, -1.674941279520723 55.013763652069365, -1.666156655201633 55.01442299346868, -1.665717703012054 55.00894920738786, -1.680198352454019 55.01025420151486))"
E01008295,0,1588,All usual residents,E01008295,"POLYGON ((-1.657860715372188 55.0139261835454, -1.662160732411962 55.01009115682855, -1.659050484757455 55.00620441374493, -1.659368519504958 55.004220918331704, -1.667147221605741 55.00172194157583, -1.667176231366578 55.00194985831579, -1.665717703012054 55.00894920738786, -1.666156655201633 55.01442299346868, -1.664643532719837 55.01446934322554, -1.657858651102162 55.01392801809551, -1.657860715372188 55.0139261835454))"
E01008296,0,1409,All usual residents,E01008296,"POLYGON ((-1.667147221605741 55.00172194157583, -1.665028071286601 54.99925091994622, -1.671481167497073 54.997069871275905, -1.673239224510844 55.001713175875295, -1.680797978356251 55.00094040328301, -1.680300610156837 55.003680077609474, -1.673535808438033 55.00264063067264, -1.675722151277337 55.004288562329194, -1.671852948770637 55.00484773941977, -1.667176231366578 55.00194985831579, -1.667147221605741 55.00172194157583))"
E01008297,0,1397,All usual residents,E01008297,"POLYGON ((-1.66653075802661 54.98953360509078, -1.669166206283452 54.98994308261852, -1.66958378872917 54.98996668992889, -1.674325139249247 54.99679381543386, -1.671481167497073 54.997069871275905, -1.665028071286601 54.99925091994622, -1.663023634544082 54.99660853731884, -1.66653075802661 54.98953360509078))"
E01008298,0,1507,All usual residents,E01008298,"POLYGON ((-1.674325139249247 54.99679381543386, -1.676564108288379 54.9943446283102, -1.680168130659929 54.99578102691685, -1.683727321744956 54.99881531516112, -1.680797978356251 55.00094040328301, -1.673239224510844 55.001713175875295, -1.671481167497073 54.997069871275905, -1.674325139249247 54.99679381543386))"
E01008299,0,1342,All usual residents,E01008299,"POLYGON ((-1.671995393657515 54.990000084284425, -1.679768951931168 54.99510766741155, -1.680168130659929 54.99578102691685, -1.676564108288379 54.9943446283102, -1.674325139249247 54.99679381543386, -1.66958378872917 54.98996668992889, -1.671995393657515 54.990000084284425))"
E01008300,0,1672,All usual residents,E01008300,"POLYGON ((-1.65677300298897 54.98993628546328, -1.658617591662188 54.98969216132045, -1.66653075802661 54.98953360509078, -1.663023634544082 54.99660853731884, -1.659511031645092 54.99400666108008, -1.65677300298897 54.98993628546328))"
E01008301,0,1776,All usual residents,E01008301,"POLYGON ((-1.565563833006255 54.96461848143559, -1.582195388786011 54.96693590881559, -1.571371353899075 54.969728004096794, -1.573460200293951 54.971613439441434, -1.565462679641593 54.97175476462185, -1.565396789175271 54.96753022573351, -1.565563833006255 54.96461848143559))"
E01008302,0,1642,All usual residents,E01008302,"POLYGON ((-1.568055922055508 54.97579296698509, -1.565469680708307 54.97178493563851, -1.565462679641593 54.97175476462185, -1.573460200293951 54.971613439441434, -1.57769265617951 54.97158878344603, -1.573080179103351 54.975497620236524, -1.571558996730286 54.97639210639412, -1.568055922055508 54.97579296698509))"
E01008303,0,1977,All usual residents,E01008303,"POLYGON ((-1.575207727199246 54.982076697431815, -1.571558996730286 54.97639210639412, -1.573080179103351 54.975497620236524, -1.578467867768404 54.97542302673554, -1.584285464401258 54.97906045856065, -1.58054315594376 54.98030973039754, -1.575207727199246 54.982076697431815))"
E01008304,0,1900,All usual residents,E01008304,"POLYGON ((-1.592753962188523 54.97630189694683, -1.591136560816359 54.97695060133675, -1.584285464401258 54.97906045856065, -1.578467867768404 54.97542302673554, -1.580609066961248 54.97068092500755, -1.58827233769085 54.971322759379184, -1.592753962188523 54.97630189694683))"
E01008305,0,2176,All usual residents,E01008305,"POLYGON ((-1.571371353899075 54.969728004096794, -1.582195388786011 54.96693590881559, -1.58827233769085 54.971322759379184, -1.580609066961248 54.97068092500755, -1.578467867768404 54.97542302673554, -1.573080179103351 54.975497620236524, -1.57769265617951 54.97158878344603, -1.573460200293951 54.971613439441434, -1.571371353899075 54.969728004096794))"
E01008306,0,1636,All usual residents,E01008306,"POLYGON ((-1.651983831813954 55.071229105170445, -1.652493456562971 55.07119627915842, -1.659821832141267 55.06233186899613, -1.652948672017935 55.053273245739305, -1.65259328149518 55.05322026473976, -1.651122364890392 55.041301441970504, -1.667675435809877 55.041112268326444, -1.678853992300441 55.03866653308752, -1.680267670303438 55.0413003102066, -1.687258377169873 55.03985198948664, -1.6949008212822332 55.04288764299288, -1.6948701 55.0429209, -1.6948744 55.0429721, -1.6949843 55.043127, -1.6950005943300719 55.04316155001469, -1.695013311565779 55.043201611157116, -1.6950272 55.0432556, -1.6950269 55.0432888, -1.6950126 55.0433193, -1.694992 55.0433489, -1.6948645 55.0434439, -1.6945259 55.0437387, -1.6944232 55.0438633, -1.6943629 55.0439683, -1.6943336 55.0441147, -1.6943075 55.0442611, -1.6943059 55.0444732, -1.6944453 55.0448608, -1.6944242 55.0449632, -1.6943683 55.0451114, -1.69436 55.0451688, -1.6943581 55.0452237, -1.6943776 55.045327, -1.6943115 55.0453808, -1.6943979 55.0455446, -1.6943896 55.0455994, -1.694372 55.0456541, -1.6942976 55.0457663, -1.6941495 55.0458935, -1.6940877 55.0459895, -1.6939839 55.0460557, -1.6939711 55.0461042, -1.6940513 55.0462599, -1.6939635 55.0466847, -1.6940344 55.0468233, -1.6942099 55.0470025, -1.6942337 55.0471742, -1.6944082 55.0474757, -1.694632 55.0476847, -1.6946779 55.0478295, -1.6947093 55.0480201, -1.6948164 55.0483466, -1.6949248 55.0484978, -1.6950329 55.0486814, -1.6949292 55.0489399, -1.6948215 55.0491149, -1.6946682 55.0493032, -1.6946316 55.0493876, -1.6946199 55.049481, -1.694666 55.0496007, -1.6947047 55.0496583, -1.6947496 55.0497168, -1.6948894 55.0498555, -1.6949219 55.0499068, -1.6950869 55.0502254, -1.6952468 55.050401, -1.6954365 55.050574, -1.6955766 55.0506714, -1.6960272 55.0509062, -1.6967044 55.0511819, -1.6973401 55.051773, -1.6979132 55.0523729, -1.6979247804356314 55.05237316162183, -1.697926625666194 55.052378974366526, -1.7017308176742514 55.05249099370948, -1.70214 55.0525055, -1.7032196736358851 55.05253483499463, -1.7105280470671538 55.05275003948171, -1.711007 55.0547159, -1.7118135 55.0579348, -1.7122877 55.0597035, -1.7126116 55.0610405, -1.7130685 55.0628397, -1.7134618 55.0643278, -1.7137464 55.0654733, -1.7121474 55.0655271, -1.710104451363999 55.06561123699069, -1.706997200212028 55.06572334464062, -1.7040939 55.0658214, -1.7041236 55.0662555, -1.7041704131644153 55.066468530436225, -1.704604055349105 55.07084439892036, -1.7045997 55.0709267, -1.7045091329774804 55.0709234669159, -1.6914078189983344 55.069732673818855, -1.6913247 55.0697202, -1.6906129 55.0704382, -1.6907004 55.0708662, -1.690825 55.0713652, -1.6909957 55.072178, -1.6911051 55.0728199, -1.6910314 55.0728314, -1.6903383 55.0729446, -1.6884035 55.0732318, -1.6883205 55.0732405, -1.6883189 55.0732405, -1.6877751 55.0732859, -1.6870841 55.0733353, -1.6863992 55.0734036, -1.6858207 55.0734821, -1.6852513 55.0735939, -1.6849924 55.0736615, -1.684595 55.0738043, -1.6839987 55.0739609, -1.6837178327723172 55.074037343985516, -1.652676889481475 55.07911874162461, -1.6526443 55.0791153, -1.6523061 55.0790982, -1.6516829 55.0790767, -1.6510032 55.0790729, -1.650199 55.0791452, -1.6491002 55.0792382, -1.647675372992253 55.079381488137216, -1.6449096109515993 55.07579270931134, -1.6448817 55.0757457, -1.6444754 55.075119, -1.6443286 55.0748931, -1.6438625 55.0741135, -1.6432453 55.0730729, -1.6426307 55.0720997, -1.6417924 55.0707448, -1.6416604 55.0706231, -1.6412625 55.0702895, -1.6411304 55.0701804, -1.6409501 55.0700262, -1.640787 55.0698792, -1.6404992 55.0696636, -1.6401756 55.0694272, -1.6398470258164102 55.069223634289585, -1.639635878412604 55.06894965506766, -1.651983831813954 55.071229105170445))"
E01008307,0,1029,All usual residents,E01008307,"POLYGON ((-1.639304756576663 55.06829073666613, -1.639196946871913 55.068075623035654, -1.637889437835734 55.06476942024882, -1.637886627923205 55.0647610748752, -1.6379456 55.0647532, -1.6381341 55.0646882, -1.6385982 55.0646096, -1.6388493 55.0645483, -1.6390094 55.0645021, -1.6390975 55.0644574, -1.639376 55.0643081, -1.6395608 55.0641281, -1.6395942 55.0640742, -1.6396197 55.0640177, -1.6396406 55.0639621, -1.6396536 55.0639046, -1.6396635 55.0638462, -1.6396855 55.0636665, -1.6396753 55.0635776, -1.6395955 55.0634066, -1.6394779 55.0632436, -1.63931 55.0631191, -1.6390947 55.0630241, -1.6384796 55.0628336, -1.6380704 55.0627146, -1.6378196 55.0625809, -1.6374376 55.0622266, -1.6370456 55.0617707, -1.6369445 55.0615224, -1.6368814 55.0612365, -1.6367852 55.0609621, -1.6367769 55.0608471, -1.63664 55.0605726, -1.6364173 55.0602682, -1.6361393 55.0595062, -1.6359109 55.058792, -1.635835726471852 55.05866994616914, -1.635092348970925 55.05646213260874, -1.6350609317820561 55.05636888921877, -1.635034 55.0562383, -1.6349822 55.0559029, -1.634908 55.0556313, -1.6348671 55.0554829, -1.6347602673150818 55.0554765441314, -1.6347136183076967 55.05533809407447, -1.6347838 55.05517, -1.6347539 55.0550225, -1.6346079 55.0547264, -1.6343963019944476 55.05439632780552, -1.6333810534568882 55.05138316148739, -1.633258854875887 55.05093533274698, -1.633234359194963 55.050839939081364, -1.6332241078572687 55.05080799318662, -1.6331879 55.0506753, -1.6331298897465745 55.05051438449508, -1.63239288024763 55.04821766687844, -1.6324210996998751 55.048192898586315, -1.6342172 55.0479542, -1.6347711 55.047449, -1.6349159 55.0473551, -1.6353978 55.0472029, -1.6359579 55.0468829, -1.6360618 55.0468068, -1.6367104 55.0465697, -1.6369004 55.0464903, -1.6372605 55.0463116, -1.6380006 55.0459759, -1.6383214 55.0458062, -1.6385231 55.0456576, -1.6387756 55.0454175, -1.6390708 55.0451407, -1.6392257 55.0449641, -1.6395639 55.0446048, -1.639746 55.0443609, -1.6397001 55.044075, -1.6396571 55.0439778, -1.6395507 55.0438086, -1.6394243 55.0435872, -1.6390582 55.0428798, -1.6389163 55.0425156, -1.6389082090502474 55.04249914457279, -1.638915771444954 55.04249250703781, -1.651122364890392 55.041301441970504, -1.65259328149518 55.05322026473976, -1.652948672017935 55.053273245739305, -1.659821832141267 55.06233186899613, -1.652493456562971 55.07119627915842, -1.651983831813954 55.071229105170445, -1.639635878412604 55.06894965506766, -1.639304756576663 55.06829073666613))"
E01008308,0,1395,All usual residents,E01008308,"POLYGON ((-1.6260599121378012 55.04031886176101, -1.6260482 55.0402134, -1.6245747181711905 55.04002187307057, -1.628951878301449 55.034254548103114, -1.647346307184707 55.02341805327109, -1.652777037880276 55.024750787938046, -1.652955040318931 55.02476561253974, -1.656377990807525 55.02498970379203, -1.665016712718092 55.02448593669309, -1.667675435809877 55.041112268326444, -1.651122364890392 55.041301441970504, -1.638915771444954 55.04249250703781, -1.6389041176456012 55.042490823446904, -1.6387684 55.0422148, -1.6386325 55.0418442, -1.6385358 55.0416363, -1.6384944 55.0415445, -1.6371202 55.0415728, -1.6361875 55.0415781, -1.6333775 55.0415212, -1.6320986853932689 55.04150581576413, -1.6260599121378012 55.04031886176101))"
E01008309,0,1829,All usual residents,E01008309,"POLYGON ((-1.627492852288755 55.01985663485179, -1.631616813643297 55.023689491028804, -1.628560041112588 55.029486887875834, -1.622814297900713 55.02917035557514, -1.625531494923938 55.02331875873197, -1.627492852288755 55.01985663485179))"
E01008311,0,1677,All usual residents,E01008311,"POLYGON ((-1.64721139226847 55.023422373343614, -1.65387515615284 55.017493053887215, -1.655162990676819 55.016345728091295, -1.664574508088835 55.01830559185211, -1.668773409891511 55.01912100422468, -1.666478307024025 55.02219050364977, -1.659261974050555 55.02104615005866, -1.656377990807525 55.02498970379203, -1.652955040318931 55.02476561253974, -1.652777037880276 55.024750787938046, -1.647346307184707 55.02341805327109, -1.64721139226847 55.023422373343614))"
E01008312,0,1264,All usual residents,E01008312,"POLYGON ((-1.664643532719837 55.01446934322554, -1.666156655201633 55.01442299346868, -1.674941279520723 55.013763652069365, -1.668773409891511 55.01912100422468, -1.664574508088835 55.01830559185211, -1.664643532719837 55.01446934322554))"
E01008313,0,1217,All usual residents,E01008313,"POLYGON ((-1.657858651102162 55.01392801809551, -1.664643532719837 55.01446934322554, -1.664574508088835 55.01830559185211, -1.655162990676819 55.016345728091295, -1.657858651102162 55.01392801809551))"
E01008314,0,1495,All usual residents,E01008314,"POLYGON ((-1.582614981520262 54.99828852070594, -1.570227646082684 55.00012830095134, -1.569503770526561 54.9990078435849, -1.571509528993241 54.99383980624222, -1.575991863033392 54.99324741966456, -1.583748151510905 54.99696751072429, -1.585045397676225 54.99845046548528, -1.582614981520262 54.99828852070594))"
E01008315,0,1556,All usual residents,E01008315,"POLYGON ((-1.592637922977636 54.989657963377795, -1.58872952403208 54.998579783749015, -1.585045397676225 54.99845046548528, -1.583748151510905 54.99696751072429, -1.587087699181972 54.99551003419932, -1.583636817502268 54.99119085217892, -1.587636874942782 54.98951227571579, -1.58897051069977 54.9888874080444, -1.592637922977636 54.989657963377795))"
E01008316,0,1609,All usual residents,E01008316,"POLYGON ((-1.560547420760958 54.99595257694304, -1.5605880169813604 54.99588246864965, -1.5606037754681883 54.995856381176935, -1.571509528993241 54.99383980624222, -1.569503770526561 54.9990078435849, -1.560279120499778 54.99640794399641, -1.560547420760958 54.99595257694304))"
E01008317,0,1529,All usual residents,E01008317,"POLYGON ((-1.59771520289596 54.99756906656088, -1.598383835969071 54.998837661882874, -1.59118441627536 55.00193310375331, -1.594891485568875 55.003877965555255, -1.589972930546832 55.00402025697723, -1.58872952403208 54.998579783749015, -1.592637922977636 54.989657963377795, -1.593532383351658 54.992354699762465, -1.59771520289596 54.99756906656088))"
E01008318,0,1405,All usual residents,E01008318,"POLYGON ((-1.581135997792523 54.991978485766076, -1.583636817502268 54.99119085217892, -1.587087699181972 54.99551003419932, -1.583748151510905 54.99696751072429, -1.575991863033392 54.99324741966456, -1.577029250191779 54.99304189880285, -1.581135997792523 54.991978485766076))"
E01008319,0,1870,All usual residents,E01008319,"POLYGON ((-1.560279120499778 54.99640794399641, -1.569503770526561 54.9990078435849, -1.570227646082684 55.00012830095134, -1.571979682837182 55.00392807808281, -1.5719652923084977 55.00392980324196, -1.5719689 55.0039153, -1.5717846 55.0039206, -1.5714223 55.0039742, -1.5713201362671165 55.00400714556003, -1.5585192697593775 55.00554173351328, -1.5585046500690256 55.005538426093274, -1.5586685306363284 55.00371774945604, -1.5587255 55.0033905, -1.5588046457853708 55.00220554043752, -1.558843780983485 55.00177075709455, -1.560279120499778 54.99640794399641))"
E01008320,0,1462,All usual residents,E01008320,"POLYGON ((-1.5864106447080015 55.008673077239514, -1.5857792 55.0087047, -1.5838891 55.0088804, -1.5829838 55.0090119, -1.5821526 55.0091494, -1.5807679 55.0094127, -1.5792098007421735 55.00978204784652, -1.5783568902953533 55.0079602225811, -1.578357 55.0079573, -1.5783259 55.0077278, -1.5781746 55.0072336, -1.5780116096234722 55.00722269960428, -1.577293089064236 55.00568793248608, -1.580138016217508 55.001426496199734, -1.587737272668912 55.00526412001763, -1.586699470500146 55.0086281678134, -1.5864106447080015 55.008673077239514))"
E01008321,0,1756,All usual residents,E01008321,"POLYGON ((-1.5897728235220545 55.008688483698634, -1.5896317 55.0086763, -1.5889998 55.008663, -1.5883708 55.0086362, -1.5879661 55.0086312, -1.5873867976616598 55.008641656906875, -1.586699470500146 55.0086281678134, -1.587737272668912 55.00526412001763, -1.589972930546832 55.00402025697723, -1.594891485568875 55.003877965555255, -1.59118441627536 55.00193310375331, -1.598383835969071 54.998837661882874, -1.603005930490593 54.99941346901602, -1.603465802548159 55.00317572570874, -1.601077345320729 55.0097424666292, -1.60047038792424 55.00974837571849, -1.590824016847254 55.00870911382329, -1.5897728235220545 55.008688483698634))"
E01008322,0,1530,All usual residents,E01008322,"POLYGON ((-1.585045397676225 54.99845046548528, -1.58872952403208 54.998579783749015, -1.589972930546832 55.00402025697723, -1.587737272668912 55.00526412001763, -1.580138016217508 55.001426496199734, -1.582614981520262 54.99828852070594, -1.585045397676225 54.99845046548528))"
E01008323,0,1670,All usual residents,E01008323,"POLYGON ((-1.5772864878969692 55.005689506270514, -1.5771239 55.0053179, -1.5744258 55.0056762, -1.574610228461491 55.0063275533399, -1.5726952144681072 55.00678411186711, -1.5726158308961211 55.0067923713633, -1.571979682837182 55.00392807808281, -1.570227646082684 55.00012830095134, -1.582614981520262 54.99828852070594, -1.580138016217508 55.001426496199734, -1.577293089064236 55.00568793248608, -1.5772864878969692 55.005689506270514))"
E01008324,0,1350,All usual residents,E01008324,"POLYGON ((-1.684546354427731 54.994462009976615, -1.69230199672095 54.991583917605524, -1.696628458877023 54.995065330107536, -1.69701523514738 54.99631715133604, -1.687518206336497 54.99593878508322, -1.684546354427731 54.994462009976615))"
E01008325,0,1420,All usual residents,E01008325,"POLYGON ((-1.69230199672095 54.991583917605524, -1.69379207784644 54.98872306549146, -1.701900629251416 54.99052540282539, -1.70628791098684 54.993993537702856, -1.709027531351524 54.994478154433146, -1.70807990468985 54.996372334057014, -1.696628458877023 54.995065330107536, -1.69230199672095 54.991583917605524))"
E01008326,0,1488,All usual residents,E01008326,"POLYGON ((-1.710898578271106 54.9896114350754, -1.705733989430128 54.987378707173036, -1.707352834266434 54.98763013414823, -1.717426587161577 54.989500766719694, -1.713095223146678 54.99430581134319, -1.709275576704962 54.994000549749266, -1.709027531351524 54.994478154433146, -1.70628791098684 54.993993537702856, -1.710898578271106 54.9896114350754))"
E01008327,0,1295,All usual residents,E01008327,"POLYGON ((-1.684915338745314 54.99138433681538, -1.691894540133563 54.98622927399051, -1.69379207784644 54.98872306549146, -1.69230199672095 54.991583917605524, -1.684546354427731 54.994462009976615, -1.682142263617326 54.99320608625006, -1.684915338745314 54.99138433681538))"
E01008328,0,1267,All usual residents,E01008328,"POLYGON ((-1.717426587161577 54.989500766719694, -1.723214622964501 54.99146534668083, -1.729968729458855 54.99502213761479, -1.724062869508963 54.995092929276794, -1.713095223146678 54.99430581134319, -1.717426587161577 54.989500766719694))"
E01008329,0,1462,All usual residents,E01008329,"POLYGON ((-1.699418693050187 54.986227421344736, -1.705733989430128 54.987378707173036, -1.710898578271106 54.9896114350754, -1.70628791098684 54.993993537702856, -1.701900629251416 54.99052540282539, -1.699418693050187 54.986227421344736))"
E01008330,0,1385,All usual residents,E01008330,"POLYGON ((-1.691894540133563 54.98622927399051, -1.693790904097122 54.98495055601803, -1.699418693050187 54.986227421344736, -1.701900629251416 54.99052540282539, -1.69379207784644 54.98872306549146, -1.691894540133563 54.98622927399051))"
E01008331,0,1882,All usual residents,E01008331,"POLYGON ((-1.642967506546516 54.97390274079349, -1.639621969974582 54.9734328285681, -1.637717390177065 54.973127747624254, -1.637876806658691 54.96902819027946, -1.640713433949309 54.96873569055921, -1.642967506546516 54.97390274079349))"
E01008332,0,2271,All usual residents,E01008332,"POLYGON ((-1.655278280397495 54.969773937944126, -1.660536055535125 54.97094608806133, -1.660615573571047 54.97096495298647, -1.658775167307635 54.97488852933828, -1.655010481884938 54.97441470838293, -1.655278280397495 54.969773937944126))"
